Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
15-04-2020,150.7,151,143.4,145.15,147.31,203358,2481,29956580,30375,14.94,7.6,-5.55
16-04-2020,145,145,140.6,143.35,142.66,199458,2208,28454324,72511,36.35,4.4,-1.65
17-04-2020,147.6,148.45,141.65,144.25,145.04,156147,2242,22647330,31078,19.9,6.8,-3.35
20-04-2020,147.9,155.05,142.9,146.65,151.06,536601,7255,81059379,61883,11.53,12.15,-1.25
21-04-2020,146,146,134.2,136.05,136.85,185300,2981,25358847,58793,31.73,11.8,-9.95
22-04-2020,139.4,139.4,132.3,137.6,135.43,222215,2639,30095645,26226,11.8,7.1,-1.8
23-04-2020,140,142.4,137.85,140.45,141.39,275939,3982,39015142,74984,27.17,4.55,0.45
24-04-2020,140.45,140.5,134.15,134.75,137.38,88223,1173,12119917,26978,30.58,6.35,-5.7
27-04-2020,138.4,138.4,134,134.65,135.86,108292,1750,14712655,22278,20.57,4.4,-3.75
28-04-2020,136,141.85,135.35,139.3,139.76,201045,2426,28098176,29715,14.78,6.5,3.3
29-04-2020,142.3,142.3,135.75,139.4,137.86,127672,2797,17600819,36453,28.55,6.55,-2.9
30-04-2020,141.75,147.4,140.4,141.45,143.41,209913,2523,30102674,46073,21.95,7,-0.3
04-05-2020,137.7,137.7,130.1,131.65,132.5,262099,4010,34727327,86380,32.96,7.6,-6.05
05-05-2020,135.4,136.4,132.05,132.7,134.43,147480,1488,19825616,35415,24.01,4.35,-2.7
06-05-2020,132.8,135.35,127.4,133.3,131.93,346216,3751,45676645,40063,11.57,7.95,0.5
07-05-2020,133,135.7,130.2,134.9,134.27,126861,3122,17034077,27236,21.47,5.5,1.9
08-05-2020,136,139.25,136,137.2,137.66,149904,2540,20635473,32860,21.92,3.25,1.2
11-05-2020,137,143.3,137,140.05,140.92,131319,3075,18505136,22608,17.22,6.3,3.05
12-05-2020,137.4,140.65,133.35,140,137.43,128498,2076,17659924,27840,21.67,7.3,2.6
13-05-2020,142.5,144.9,140.85,141.15,142.25,118962,1243,16922390,29349,24.67,4.05,-1.35
14-05-2020,140,142.4,137.6,140.75,140.26,128270,1234,17991155,19138,14.92,4.8,0.75
15-05-2020,143.35,143.8,140,140.95,141.8,117502,1861,16661460,21377,18.19,3.8,-2.4
18-05-2020,145,146.35,134.4,135.85,142.15,427288,3661,60738573,142396,33.33,11.95,-9.15
19-05-2020,139.1,145.85,134.5,139.65,140.58,232494,2615,32684687,39122,16.83,11.35,0.55
20-05-2020,139.65,143.05,138.2,141.45,141.15,144426,2004,20385894,17080,11.83,4.85,1.8
21-05-2020,143.7,143.75,137.1,138.35,140.13,125314,1806,17560832,40364,32.21,6.65,-5.35
22-05-2020,141.15,141.15,136.85,138.05,138.52,108155,1008,14981148,20157,18.64,4.3,-3.1
26-05-2020,140.9,143.15,138.5,139.55,140.51,113668,1286,15971324,22756,20.02,4.65,-1.35
27-05-2020,139,141.5,138.5,141.05,140.26,122223,1271,17142952,22142,18.12,3,2.05
28-05-2020,143.75,144.45,141.1,142.65,142.64,166892,1758,23805841,36550,21.9,3.35,-1.1
29-05-2020,142,153.5,142,148.25,148.47,380175,3534,56444256,73912,19.44,11.5,6.25
01-06-2020,153,154.8,149.55,150.5,152.35,172843,1517,26332714,33789,19.55,5.25,-2.5
02-06-2020,151.15,152.7,149.1,149.95,150.46,141066,1779,21224334,32350,22.93,3.6,-1.2
03-06-2020,152.3,157.8,149.75,150.5,154.91,370854,3588,57450612,51731,13.95,8.05,-1.8
04-06-2020,152,153.8,146.2,148,149.39,174563,1802,26078255,39404,22.57,7.6,-4
05-06-2020,149.85,154.9,149,152.55,152.46,199624,2464,30434916,31809,15.93,5.9,2.7
08-06-2020,155.95,158.65,150.85,152.8,155.1,278911,2952,43258397,66425,23.82,7.8,-3.15
09-06-2020,154.9,156.7,151.15,151.9,153.78,203026,2109,31221716,41466,20.42,5.55,-3
10-06-2020,152,154.55,150.25,151.85,152.26,203593,2018,30999280,65028,31.94,4.3,-0.15
11-06-2020,153.85,165.45,150.25,151.65,158.65,847200,9638,134411865,140959,16.64,15.2,-2.2
12-06-2020,145.2,153.35,141.1,152.35,148.09,464427,4142,68779187,53790,11.58,12.25,7.15
15-06-2020,152.8,157.1,148.5,149.35,152.33,426804,4928,65016914,65391,15.32,8.6,-3.45
16-06-2020,153.05,153.9,142.8,146.2,148.44,481280,4977,71443535,63373,13.17,11.1,-6.85
17-06-2020,146,148.4,143.55,147.1,146.86,191149,2510,28071728,45191,23.64,4.85,1.1
18-06-2020,149,149.3,146.1,147.8,147.93,359360,4225,53159338,45108,12.55,3.2,-1.2
19-06-2020,150.8,154.45,149,152.85,151.91,538782,5575,81844417,78461,14.56,5.45,2.05
22-06-2020,155,156.15,153.75,154.8,155.09,573162,6276,88888883,114140,19.91,2.4,-0.2
23-06-2020,156.35,161.75,155.6,157.15,158.35,411821,4990,65212156,104159,25.29,6.15,0.8
24-06-2020,160,163,153.55,154.7,158.44,368415,4259,58371294,88936,24.14,9.45,-5.3
25-06-2020,154.05,169.15,153.35,161.7,163.23,1057505,9300,172617148,159480,15.08,15.8,7.65
26-06-2020,163.95,166.35,161.35,162.1,163.27,467348,5324,76305647,98223,21.02,5,-1.85
29-06-2020,161.9,163.5,156.95,159.7,159.69,208676,1810,33323041,31564,15.13,6.55,-2.2
30-06-2020,161.8,164.1,155.4,156.25,159.16,214933,2838,34208857,37384,17.39,8.7,-5.55
01-07-2020,155.5,158.9,155.5,157.65,157.47,165713,2306,26094463,42810,25.83,3.4,2.15
02-07-2020,159,160.8,156.2,158.25,158.57,177596,1747,28161840,41545,23.39,4.6,-0.75
03-07-2020,160,163.7,157.5,159.95,161.3,433451,3548,69915946,92377,21.31,6.2,-0.05
06-07-2020,162.9,165.15,160.8,164.2,163.53,274577,1723,44900411,53575,19.51,4.35,1.3
07-07-2020,164.5,170.65,163.45,168.1,167.32,536097,4330,89699559,60449,11.28,7.2,3.6
08-07-2020,168.95,169.6,161.65,163.05,166.54,195533,1748,32564560,36039,18.43,7.95,-5.9
09-07-2020,162.1,165,161.45,162.8,163.04,139040,1760,22669162,39490,28.4,3.55,0.7
10-07-2020,160.15,162.65,158.45,159.7,159.93,142675,1913,22817680,24353,17.07,4.2,-0.45
13-07-2020,163.4,163.4,154.3,156,157.7,154869,1659,24422777,41264,26.64,9.1,-7.4
14-07-2020,157.4,157.4,149.1,149.8,151.77,141064,2023,21408737,53568,37.97,8.3,-7.6
15-07-2020,151.6,153.8,146.95,147.65,150.95,183990,2200,27772481,45026,24.47,6.85,-3.95
16-07-2020,148,150,145.15,148.9,147.66,109208,1245,16125551,22400,20.51,4.85,0.9
17-07-2020,149.8,153.9,149.8,151.6,151.72,103332,966,15677288,17187,16.63,4.1,1.8
20-07-2020,152,161.85,152,160.6,157.82,469117,4934,74034298,137306,29.27,9.85,8.6
