Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
11-03-2020,1113.15,1178.4,1110,1153.25,1158.9,6053529,37139,7015453610,5302033,87.59,68.4,40.1
12-03-2020,1087,1100.7,1049.5,1061.6,1076.14,1042732,58021,1122121508,346870,33.27,51.2,-25.4
13-03-2020,1005,1139.9,939.85,1106.9,1044.22,2170408,59185,2266378051,895624,41.27,200.05,101.9
16-03-2020,1065.65,1079.65,1005.55,1015.25,1046.76,901150,36892,943288079,307049,34.07,74.1,-50.4
17-03-2020,1041.2,1059,1004,1008.9,1036.27,964776,35514,999771553,255168,26.45,55,-32.3
18-03-2020,1023,1035.1,961.2,968.85,994.83,1004674,40856,999483478,324555,32.3,73.9,-54.15
19-03-2020,925,967.5,891,917.1,921.62,1566774,53508,1443971883,348844,22.27,76.5,-7.9
20-03-2020,939,1033.7,930.05,1020.2,985.53,1779377,57663,1753634176,349200,19.62,103.65,81.2
23-03-2020,920,952,875.7,883.85,900.07,1247576,49632,1122910404,545622,43.73,76.3,-36.15
24-03-2020,943,970.4,895.8,943.1,937.65,1025524,34135,961577707,232532,22.67,74.6,0.1
25-03-2020,951,1152,951,1081.25,950.97,117608851,60941,1.12E+11,116504604,99.06,201,130.25
26-03-2020,1090,1117.15,1043.15,1074.75,1076.45,921918,37110,992399431,215309,23.35,74,-15.25
27-03-2020,1100,1107.7,1047.25,1065.5,1056.75,87479375,31357,92443490978,86900955,99.34,60.45,-34.5
30-03-2020,1047.95,1074,1020,1032.35,1036.76,1477296,25150,1531601364,844719,57.18,54,-15.6
31-03-2020,1071,1129,1048.8,1112.45,1080.74,2119399,35896,2290508813,1369324,64.61,80.2,41.45
01-04-2020,1116.2,1124.95,1044.75,1080.65,1070.04,825411,32355,883222910,164281,19.9,80.2,-35.55
03-04-2020,1130,1131.6,1057,1078.2,1074.32,1473406,28689,1582909836,993332,67.42,74.6,-51.8
07-04-2020,1106,1213.7,1101,1206.4,1163.14,1246979,48086,1450408711,337352,27.05,112.7,100.4
08-04-2020,1175,1228.95,1161.85,1192.15,1197.43,1072376,36284,1284095786,153505,14.31,67.1,17.15
09-04-2020,1211.2,1232.75,1193.25,1219.2,1214.74,624780,26394,758942594,161511,25.85,39.5,8
13-04-2020,1208,1215,1180,1189.25,1192,445919,20095,531536746,92980,20.85,35,-18.75
